name,body_part,target,equipment,gif_url,image
"barbell palms down wrist curl over a bench","lower arms","forearms","barbell","videos/1411-yzYH9pI.gif","images/1411-yzYH9pI.jpg"
"barbell palms up wrist curl over a bench","lower arms","forearms","barbell","videos/1412-SJAA2IQ.gif","images/1412-SJAA2IQ.jpg"
"barbell pendlay row","back","upper back","barbell","videos/3017-r0z6xzQ.gif","images/3017-r0z6xzQ.jpg"
"barbell pin presses","upper arms","triceps","barbell","videos/1751-bndCa3Q.gif","images/1751-bndCa3Q.jpg"
"barbell preacher curl","upper arms","biceps","barbell","videos/0070-qOgPVf6.gif","images/0070-qOgPVf6.jpg"
"barbell press sit-up","waist","abs","barbell","videos/0071-wnEscH8.gif","images/0071-wnEscH8.jpg"
"barbell prone incline curl","upper arms","biceps","barbell","videos/0072-WLvTAv5.gif","images/0072-WLvTAv5.jpg"
"barbell pullover","back","lats","barbell","videos/0073-i6LWjok.gif","images/0073-i6LWjok.jpg"
"barbell pullover to press","back","lats","barbell","videos/0022-znLogoF.gif","images/0022-znLogoF.jpg"
"barbell rack pull","upper legs","glutes","barbell","videos/0074-za9Ni4z.gif","images/0074-za9Ni4z.jpg"
"barbell rear delt raise","shoulders","delts","barbell","videos/0075-Ln9iTbU.gif","images/0075-Ln9iTbU.jpg"
"barbell rear delt row","shoulders","delts","barbell","videos/0076-S9zHIvU.gif","images/0076-S9zHIvU.jpg"
"barbell rear lunge","upper legs","glutes","barbell","videos/0078-VaP75jl.gif","images/0078-VaP75jl.jpg"
"barbell rear lunge v. 2","upper legs","glutes","barbell","videos/0077-62Nw60O.gif","images/0077-62Nw60O.jpg"
"barbell revers wrist curl v. 2","lower arms","forearms","barbell","videos/0079-qDnGfDb.gif","images/0079-qDnGfDb.jpg"
"barbell reverse close-grip bench press","upper arms","triceps","barbell","videos/2187-YqJw82s.gif","images/2187-YqJw82s.jpg"
"barbell reverse curl","upper arms","biceps","barbell","videos/0080-xNrS20v.gif","images/0080-xNrS20v.jpg"
"barbell reverse grip bent over row","back","upper back","barbell","videos/0118-SzX3uzM.gif","images/0118-SzX3uzM.jpg"
"barbell reverse grip decline bench press","chest","pectorals","barbell","videos/1256-DotAgEF.gif","images/1256-DotAgEF.jpg"
"barbell reverse grip incline bench press","chest","pectorals","barbell","videos/1257-DU7I633.gif","images/1257-DU7I633.jpg"
"barbell reverse grip incline bench row","back","upper back","barbell","videos/1317-8d8qJQI.gif","images/1317-8d8qJQI.jpg"
"barbell reverse grip skullcrusher","upper arms","triceps","barbell","videos/1721-yRLPCLu.gif","images/1721-yRLPCLu.jpg"
"barbell reverse preacher curl","upper arms","biceps","barbell","videos/0081-4LIG9xr.gif","images/0081-4LIG9xr.jpg"
"barbell reverse wrist curl","lower arms","forearms","barbell","videos/0082-LsZkfU6.gif","images/0082-LsZkfU6.jpg"
"barbell rollerout","waist","abs","barbell","videos/0084-7M66AVi.gif","images/0084-7M66AVi.jpg"
"barbell rollerout from bench","waist","abs","barbell","videos/0083-Gxg9lDc.gif","images/0083-Gxg9lDc.jpg"
"barbell romanian deadlift","upper legs","glutes","barbell","videos/0085-wQ2c4XD.gif","images/0085-wQ2c4XD.jpg"
"barbell seated behind head military press","shoulders","delts","barbell","videos/0086-ngPpyRS.gif","images/0086-ngPpyRS.jpg"
"barbell seated bradford rocky press","shoulders","delts","barbell","videos/0087-0dCyly0.gif","images/0087-0dCyly0.jpg"
"barbell seated calf raise","lower legs","calves","barbell","videos/0088-ktsFQAZ.gif","images/0088-ktsFQAZ.jpg"
"barbell seated calf raise","lower legs","calves","barbell","videos/1371-ipvgBnC.gif","images/1371-ipvgBnC.jpg"
"barbell seated close grip behind neck triceps extension","upper arms","triceps","barbell","videos/1718-4CBIBOM.gif","images/1718-4CBIBOM.jpg"
"barbell seated close-grip concentration curl","upper arms","biceps","barbell","videos/0089-1V1gj1u.gif","images/0089-1V1gj1u.jpg"
"barbell seated good morning","upper legs","glutes","barbell","videos/0090-d960PgE.gif","images/0090-d960PgE.jpg"
"barbell seated overhead press","shoulders","delts","barbell","videos/0091-kTbSH9h.gif","images/0091-kTbSH9h.jpg"
"barbell seated overhead triceps extension","upper arms","triceps","barbell","videos/0092-5uFK1xr.gif","images/0092-5uFK1xr.jpg"
"barbell seated twist","waist","abs","barbell","videos/0094-dFSNDOA.gif","images/0094-dFSNDOA.jpg"
"barbell shrug","back","traps","barbell","videos/0095-dG7tG5y.gif","images/0095-dG7tG5y.jpg"
"barbell side bent v. 2","waist","abs","barbell","videos/0096-i4JkUaL.gif","images/0096-i4JkUaL.jpg"
"barbell side split squat","upper legs","quads","barbell","videos/0098-W31mMjd.gif","images/0098-W31mMjd.jpg"
"barbell side split squat v. 2","upper legs","quads","barbell","videos/0097-HUEqZ1y.gif","images/0097-HUEqZ1y.jpg"
"barbell single leg deadlift","upper legs","glutes","barbell","videos/1756-gEyURal.gif","images/1756-gEyURal.jpg"
"barbell single leg split squat","upper legs","quads","barbell","videos/0099-gGNQmVt.gif","images/0099-gGNQmVt.jpg"
"barbell sitted alternate leg raise","waist","abs","barbell","videos/2799-G7xoEzr.gif","images/2799-G7xoEzr.jpg"
"barbell sitted alternate leg raise (female)","waist","abs","barbell","videos/2800-BCs0G2F.gif","images/2800-BCs0G2F.jpg"
"barbell skier","shoulders","delts","barbell","videos/0100-4Leypho.gif","images/0100-4Leypho.jpg"
"barbell speed squat","upper legs","glutes","barbell","videos/0101-euI1BwR.gif","images/0101-euI1BwR.jpg"
"barbell split squat v. 2","upper legs","quads","barbell","videos/2810-HBYyX94.gif","images/2810-HBYyX94.jpg"
"barbell squat (on knees)","upper legs","quads","barbell","videos/0102-oR7O9LW.gif","images/0102-oR7O9LW.jpg"
"barbell squat jump step rear lunge","upper legs","quads","barbell","videos/2798-RYcV1kH.gif","images/2798-RYcV1kH.jpg"
"barbell standing ab rollerout","waist","abs","barbell","videos/0103-xnInPfE.gif","images/0103-xnInPfE.jpg"
"barbell standing back wrist curl","lower arms","forearms","barbell","videos/0104-2qTvJAZ.gif","images/0104-2qTvJAZ.jpg"
"barbell standing bradford press","shoulders","delts","barbell","videos/0105-dCPESfR.gif","images/0105-dCPESfR.jpg"
"barbell standing calf raise","lower legs","calves","barbell","videos/1372-8ozhUIZ.gif","images/1372-8ozhUIZ.jpg"
"barbell standing close grip curl","upper arms","biceps","barbell","videos/0106-4dUn2iv.gif","images/0106-4dUn2iv.jpg"
"barbell standing close grip military press","shoulders","delts","barbell","videos/1456-wdRZISl.gif","images/1456-wdRZISl.jpg"
"barbell standing concentration curl","upper arms","biceps","barbell","videos/2414-vsMcDi9.gif","images/2414-vsMcDi9.jpg"
"barbell standing front raise over head","shoulders","delts","barbell","videos/0107-S8mo30S.gif","images/0107-S8mo30S.jpg"
"barbell standing leg calf raise","lower legs","calves","barbell","videos/0108-rGwhJ5o.gif","images/0108-rGwhJ5o.jpg"
"barbell standing overhead triceps extension","upper arms","triceps","barbell","videos/0109-dZl9Q27.gif","images/0109-dZl9Q27.jpg"
"barbell standing reverse grip curl","upper arms","biceps","barbell","videos/0110-LWuA3aZ.gif","images/0110-LWuA3aZ.jpg"
"barbell standing rocking leg calf raise","lower legs","calves","barbell","videos/0111-6HiHHe0.gif","images/0111-6HiHHe0.jpg"
"barbell standing twist","waist","abs","barbell","videos/0112-yQe5HpE.gif","images/0112-yQe5HpE.jpg"
"barbell standing wide grip biceps curl","upper arms","biceps","barbell","videos/1629-faHKVkK.gif","images/1629-faHKVkK.jpg"
"barbell standing wide military press","shoulders","delts","barbell","videos/1457-Kyd9Rz5.gif","images/1457-Kyd9Rz5.jpg"
"barbell standing wide-grip curl","upper arms","biceps","barbell","videos/0113-NdIb5Z1.gif","images/0113-NdIb5Z1.jpg"
"barbell step-up","upper legs","glutes","barbell","videos/0114-Kxquu2E.gif","images/0114-Kxquu2E.jpg"
"barbell stiff leg good morning","upper legs","glutes","barbell","videos/0115-JrOHAZc.gif","images/0115-JrOHAZc.jpg"
"barbell straight leg deadlift","upper legs","hamstrings","barbell","videos/0116-hrVQWvE.gif","images/0116-hrVQWvE.jpg"
"barbell sumo deadlift","upper legs","glutes","barbell","videos/0117-KgI0tqW.gif","images/0117-KgI0tqW.jpg"
"barbell thruster","shoulders","delts","barbell","videos/3305-f7Y9eDZ.gif","images/3305-f7Y9eDZ.jpg"
"barbell upright row","shoulders","delts","barbell","videos/0120-UDlhcO8.gif","images/0120-UDlhcO8.jpg"
"barbell upright row v. 2","shoulders","delts","barbell","videos/0119-83HoW9X.gif","images/0119-83HoW9X.jpg"
"barbell upright row v. 3","shoulders","delts","barbell","videos/0121-fI18Rbc.gif","images/0121-fI18Rbc.jpg"
"barbell wide bench press","chest","pectorals","barbell","videos/0122-JsKq9so.gif","images/0122-JsKq9so.jpg"
"barbell wide reverse grip bench press","chest","pectorals","barbell","videos/1258-945zpRg.gif","images/1258-945zpRg.jpg"
"barbell wide squat","upper legs","quads","barbell","videos/0124-s7HX1BY.gif","images/0124-s7HX1BY.jpg"
"barbell wide-grip upright row","shoulders","delts","barbell","videos/0123-RgJDRR1.gif","images/0123-RgJDRR1.jpg"
"barbell wrist curl","lower arms","forearms","barbell","videos/0126-82LxxkW.gif","images/0126-82LxxkW.jpg"
"barbell wrist curl v. 2","lower arms","forearms","barbell","videos/0125-6kSxYnw.gif","images/0125-6kSxYnw.jpg"
"barbell zercher squat","upper legs","glutes","barbell","videos/0127-LSTChY9.gif","images/0127-LSTChY9.jpg"
"basic toe touch (male)","upper legs","glutes","body weight","videos/3212-BbfB8Gb.gif","images/3212-BbfB8Gb.jpg"
"battling ropes","shoulders","delts","rope","videos/0128-RJa4tCo.gif","images/0128-RJa4tCo.jpg"
"bear crawl","cardio","cardiovascular system","body weight","videos/3360-0Yz8WdV.gif","images/3360-0Yz8WdV.jpg"
"behind head chest stretch","chest","pectorals","assisted","videos/1259-QoHIhPl.gif","images/1259-QoHIhPl.jpg"
"bench dip (knees bent)","upper arms","triceps","body weight","videos/0129-RrLske5.gif","images/0129-RrLske5.jpg"
"bench dip on floor","upper arms","triceps","body weight","videos/1399-9RT8oQW.gif","images/1399-9RT8oQW.jpg"
